Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
310.07	0.10000	6.6806	0.14969	-14.937	-14.922	-43.830	182.05	229.74	1080.8	-0.39141	344.01	0.11861	liquid
310.38	0.10000	6.6779	0.14975	-14.865	-14.850	-43.597	182.17	229.86	1079.4	-0.39088	342.91	0.11852	liquid
310.70	0.10000	6.6752	0.14981	-14.792	-14.777	-43.365	182.28	229.99	1078.1	-0.39035	341.81	0.11842	liquid
311.01	0.10000	6.6725	0.14987	-14.720	-14.705	-43.132	182.40	230.11	1076.7	-0.38982	340.72	0.11833	liquid
311.32	0.10000	6.6698	0.14993	-14.648	-14.633	-42.900	182.51	230.24	1075.4	-0.38929	339.63	0.11823	liquid
311.64	0.10000	6.6670	0.14999	-14.576	-14.561	-42.668	182.63	230.36	1074.0	-0.38876	338.55	0.11814	liquid
311.95	0.10000	6.6643	0.15005	-14.503	-14.488	-42.435	182.74	230.49	1072.7	-0.38822	337.47	0.11805	liquid
312.27	0.10000	6.6616	0.15011	-14.431	-14.416	-42.203	182.86	230.62	1071.3	-0.38769	336.40	0.11795	liquid
312.58	0.10000	6.6589	0.15017	-14.358	-14.343	-41.972	182.97	230.74	1070.0	-0.38715	335.33	0.11786	liquid
312.89	0.10000	6.6562	0.15024	-14.286	-14.271	-41.740	183.09	230.87	1068.6	-0.38662	334.26	0.11777	liquid
313.21	0.10000	6.6535	0.15030	-14.213	-14.198	-41.508	183.20	230.99	1067.3	-0.38608	333.21	0.11767	liquid
313.52	0.10000	6.6508	0.15036	-14.141	-14.126	-41.276	183.32	231.12	1066.0	-0.38554	332.15	0.11758	liquid
313.84	0.10000	6.6481	0.15042	-14.068	-14.053	-41.045	183.43	231.25	1064.6	-0.38500	331.11	0.11748	liquid
314.15	0.10000	6.6454	0.15048	-13.996	-13.980	-40.814	183.55	231.37	1063.3	-0.38446	330.06	0.11739	liquid
314.46	0.10000	6.6426	0.15054	-13.923	-13.908	-40.582	183.66	231.50	1061.9	-0.38392	329.02	0.11730	liquid
314.78	0.10000	6.6399	0.15060	-13.850	-13.835	-40.351	183.78	231.63	1060.6	-0.38338	327.99	0.11720	liquid
315.09	0.10000	6.6372	0.15067	-13.777	-13.762	-40.120	183.89	231.75	1059.2	-0.38283	326.96	0.11711	liquid
315.41	0.10000	6.6345	0.15073	-13.705	-13.689	-39.889	184.01	231.88	1057.9	-0.38229	325.94	0.11702	liquid
315.72	0.10000	6.6318	0.15079	-13.632	-13.617	-39.658	184.13	232.01	1056.6	-0.38174	324.92	0.11692	liquid
316.04	0.10000	6.6290	0.15085	-13.559	-13.544	-39.428	184.24	232.13	1055.2	-0.38119	323.90	0.11683	liquid
316.35	0.10000	6.6263	0.15091	-13.486	-13.471	-39.197	184.36	232.26	1053.9	-0.38065	322.89	0.11674	liquid
316.66	0.10000	6.6236	0.15098	-13.413	-13.398	-38.966	184.47	232.39	1052.5	-0.38010	321.88	0.11664	liquid
316.98	0.10000	6.6209	0.15104	-13.340	-13.325	-38.736	184.59	232.52	1051.2	-0.37955	320.88	0.11655	liquid
317.29	0.10000	6.6181	0.15110	-13.267	-13.252	-38.506	184.71	232.64	1049.9	-0.37899	319.89	0.11646	liquid
317.61	0.10000	6.6154	0.15116	-13.194	-13.179	-38.275	184.82	232.77	1048.5	-0.37844	318.89	0.11636	liquid
317.92	0.10000	6.6127	0.15122	-13.121	-13.106	-38.045	184.94	232.90	1047.2	-0.37789	317.91	0.11627	liquid
318.23	0.10000	6.6099	0.15129	-13.047	-13.032	-37.815	185.06	233.03	1045.9	-0.37733	316.92	0.11618	liquid
318.55	0.10000	6.6072	0.15135	-12.974	-12.959	-37.585	185.17	233.16	1044.5	-0.37678	315.94	0.11608	liquid
318.86	0.10000	6.6045	0.15141	-12.901	-12.886	-37.355	185.29	233.28	1043.2	-0.37622	314.97	0.11599	liquid
319.18	0.10000	6.6017	0.15148	-12.828	-12.813	-37.126	185.41	233.41	1041.8	-0.37566	314.00	0.11590	liquid
319.49	0.10000	6.5990	0.15154	-12.754	-12.739	-36.896	185.52	233.54	1040.5	-0.37510	313.03	0.11581	liquid
319.80	0.10000	6.5963	0.15160	-12.681	-12.666	-36.666	185.64	233.67	1039.2	-0.37454	312.07	0.11571	liquid
320.12	0.10000	6.5935	0.15166	-12.608	-12.593	-36.437	185.76	233.80	1037.8	-0.37398	311.11	0.11562	liquid
320.43	0.10000	6.5908	0.15173	-12.534	-12.519	-36.208	185.87	233.93	1036.5	-0.37342	310.16	0.11553	liquid
320.75	0.10000	6.5880	0.15179	-12.461	-12.446	-35.978	185.99	234.06	1035.2	-0.37286	309.21	0.11543	liquid
321.06	0.10000	6.5853	0.15185	-12.387	-12.372	-35.749	186.11	234.18	1033.8	-0.37229	308.27	0.11534	liquid
321.37	0.10000	6.5826	0.15192	-12.314	-12.298	-35.520	186.23	234.31	1032.5	-0.37173	307.33	0.11525	liquid
321.69	0.10000	6.5798	0.15198	-12.240	-12.225	-35.291	186.34	234.44	1031.2	-0.37116	306.39	0.11516	liquid
322.00	0.10000	6.5771	0.15204	-12.166	-12.151	-35.062	186.46	234.57	1029.8	-0.37059	305.46	0.11506	liquid
322.32	0.10000	6.5743	0.15211	-12.093	-12.077	-34.834	186.58	234.70	1028.5	-0.37002	304.53	0.11497	liquid
322.63	0.10000	6.5716	0.15217	-12.019	-12.004	-34.605	186.70	234.83	1027.2	-0.36945	303.61	0.11488	liquid
322.95	0.10000	6.5688	0.15223	-11.945	-11.930	-34.376	186.81	234.96	1025.8	-0.36888	302.69	0.11479	liquid
323.26	0.10000	6.5661	0.15230	-11.871	-11.856	-34.148	186.93	235.09	1024.5	-0.36831	301.77	0.11469	liquid
323.57	0.10000	6.5633	0.15236	-11.798	-11.782	-33.920	187.05	235.22	1023.2	-0.36774	300.86	0.11460	liquid
323.89	0.10000	6.5606	0.15243	-11.724	-11.708	-33.691	187.17	235.35	1021.8	-0.36716	299.95	0.11451	liquid
324.20	0.10000	6.5578	0.15249	-11.650	-11.634	-33.463	187.29	235.48	1020.5	-0.36658	299.05	0.11442	liquid
324.52	0.10000	6.5550	0.15255	-11.576	-11.560	-33.235	187.40	235.61	1019.2	-0.36601	298.15	0.11432	liquid
324.83	0.10000	6.5523	0.15262	-11.502	-11.486	-33.007	187.52	235.74	1017.9	-0.36543	297.25	0.11423	liquid
325.14	0.10000	6.5495	0.15268	-11.428	-11.412	-32.779	187.64	235.87	1016.5	-0.36485	296.36	0.11414	liquid
325.46	0.10000	6.5468	0.15275	-11.354	-11.338	-32.551	187.76	236.01	1015.2	-0.36427	295.47	0.11405	liquid
325.77	0.10000	6.5440	0.15281	-11.279	-11.264	-32.324	187.88	236.14	1013.9	-0.36369	294.58	0.11395	liquid
326.09	0.10000	6.5412	0.15288	-11.205	-11.190	-32.096	187.99	236.27	1012.5	-0.36310	293.70	0.11386	liquid
326.40	0.10000	6.5385	0.15294	-11.131	-11.116	-31.869	188.11	236.40	1011.2	-0.36252	292.82	0.11377	liquid
326.71	0.10000	6.5357	0.15301	-11.057	-11.041	-31.641	188.23	236.53	1009.9	-0.36193	291.95	0.11368	liquid
327.03	0.10000	6.5329	0.15307	-10.982	-10.967	-31.414	188.35	236.66	1008.6	-0.36135	291.08	0.11358	liquid
327.34	0.10000	6.5302	0.15314	-10.908	-10.893	-31.187	188.47	236.79	1007.2	-0.36076	290.21	0.11349	liquid
327.66	0.10000	6.5274	0.15320	-10.834	-10.818	-30.959	188.59	236.92	1005.9	-0.36017	289.35	0.11340	liquid
327.97	0.10000	6.5246	0.15327	-10.759	-10.744	-30.732	188.70	237.06	1004.6	-0.35958	288.49	0.11331	liquid
328.28	0.10000	6.5218	0.15333	-10.685	-10.669	-30.505	188.82	237.19	1003.3	-0.35899	287.64	0.11322	liquid
328.60	0.10000	6.5191	0.15340	-10.610	-10.595	-30.278	188.94	237.32	1001.9	-0.35839	286.78	0.11313	liquid
328.91	0.10000	6.5163	0.15346	-10.536	-10.520	-30.052	189.06	237.45	1000.6	-0.35780	285.94	0.11303	liquid
329.23	0.10000	6.5135	0.15353	-10.461	-10.446	-29.825	189.18	237.58	999.29	-0.35720	285.09	0.11294	liquid
329.54	0.10000	6.5107	0.15359	-10.387	-10.371	-29.598	189.30	237.72	997.97	-0.35661	284.25	0.11285	liquid
329.86	0.10000	6.5080	0.15366	-10.312	-10.296	-29.372	189.42	237.85	996.64	-0.35601	283.41	0.11276	liquid
330.17	0.10000	6.5052	0.15372	-10.237	-10.222	-29.145	189.54	237.98	995.32	-0.35541	282.58	0.11267	liquid
330.48	0.10000	6.5024	0.15379	-10.162	-10.147	-28.919	189.66	238.11	994.00	-0.35481	281.75	0.11257	liquid
330.80	0.10000	6.4996	0.15386	-10.088	-10.072	-28.693	189.78	238.25	992.68	-0.35421	280.92	0.11248	liquid
331.11	0.10000	6.4968	0.15392	-10.013	-9.9973	-28.467	189.89	238.38	991.36	-0.35361	280.10	0.11239	liquid
331.43	0.10000	6.4940	0.15399	-9.9378	-9.9224	-28.241	190.01	238.51	990.04	-0.35300	279.28	0.11230	liquid
331.74	0.10000	6.4912	0.15405	-9.8629	-9.8475	-28.015	190.13	238.64	988.72	-0.35240	278.46	0.11221	liquid
332.05	0.10000	6.4884	0.15412	-9.7879	-9.7725	-27.789	190.25	238.78	987.40	-0.35179	277.65	0.11212	liquid
332.37	0.10000	6.4857	0.15419	-9.7129	-9.6975	-27.563	190.37	238.91	986.08	-0.35118	276.84	0.11203	liquid
332.68	0.10000	6.4829	0.15425	-9.6379	-9.6225	-27.337	190.49	239.04	984.76	-0.35057	276.03	0.11193	liquid
333.00	0.10000	6.4801	0.15432	-9.5628	-9.5474	-27.111	190.61	239.18	983.44	-0.34996	275.23	0.11184	liquid
333.31	0.10000	6.4773	0.15439	-9.4877	-9.4722	-26.886	190.73	239.31	982.12	-0.34935	274.43	0.11175	liquid
333.62	0.10000	6.4745	0.15445	-9.4125	-9.3970	-26.660	190.85	239.44	980.80	-0.34873	273.63	0.11166	liquid
333.94	0.10000	6.4717	0.15452	-9.3373	-9.3218	-26.435	190.97	239.58	979.49	-0.34812	272.83	0.11157	liquid
334.25	0.10000	6.4689	0.15459	-9.2620	-9.2465	-26.210	191.09	239.71	978.17	-0.34750	272.04	0.11148	liquid
334.57	0.10000	6.4661	0.15465	-9.1867	-9.1712	-25.985	191.21	239.85	976.85	-0.34689	271.26	0.11139	liquid
334.88	0.10000	6.4633	0.15472	-9.1113	-9.0959	-25.759	191.33	239.98	975.53	-0.34627	270.47	0.11130	liquid
335.19	0.10000	6.4604	0.15479	-9.0360	-9.0205	-25.534	191.45	240.11	974.22	-0.34565	269.69	0.11120	liquid
335.51	0.10000	6.4576	0.15486	-8.9605	-8.9450	-25.310	191.57	240.25	972.90	-0.34503	268.91	0.11111	liquid
335.82	0.10000	6.4548	0.15492	-8.8851	-8.8696	-25.085	191.69	240.38	971.59	-0.34440	268.14	0.11102	liquid
336.14	0.10000	6.4520	0.15499	-8.8095	-8.7940	-24.860	191.81	240.52	970.27	-0.34378	267.37	0.11093	liquid
336.45	0.10000	6.4492	0.15506	-8.7340	-8.7185	-24.635	191.93	240.65	968.96	-0.34315	266.60	0.11084	liquid
336.76	0.10000	6.4464	0.15513	-8.6584	-8.6429	-24.411	192.05	240.79	967.64	-0.34253	265.83	0.11075	liquid
337.08	0.10000	6.4436	0.15519	-8.5827	-8.5672	-24.186	192.17	240.92	966.33	-0.34190	265.07	0.11066	liquid
337.39	0.10000	6.4408	0.15526	-8.5071	-8.4915	-23.962	192.29	241.06	965.02	-0.34127	264.31	0.11057	liquid
337.71	0.10000	6.4379	0.15533	-8.4313	-8.4158	-23.737	192.41	241.19	963.70	-0.34064	263.55	0.11048	liquid
338.02	0.10000	6.4351	0.15540	-8.3556	-8.3400	-23.513	192.53	241.33	962.39	-0.34000	262.80	0.11039	liquid
338.34	0.10000	6.4323	0.15547	-8.2798	-8.2642	-23.289	192.65	241.46	961.08	-0.33937	262.05	0.11030	liquid
338.65	0.10000	6.4295	0.15553	-8.2039	-8.1883	-23.065	192.77	241.60	959.76	-0.33873	261.30	0.11020	liquid
338.96	0.10000	6.4266	0.15560	-8.1280	-8.1124	-22.841	192.89	241.73	958.45	-0.33810	260.56	0.11011	liquid
339.28	0.10000	6.4238	0.15567	-8.0521	-8.0365	-22.617	193.01	241.87	957.14	-0.33746	259.82	0.11002	liquid
339.59	0.10000	6.4210	0.15574	-7.9761	-7.9605	-22.393	193.13	242.00	955.83	-0.33682	259.08	0.10993	liquid
339.91	0.10000	6.4181	0.15581	-7.9001	-7.8845	-22.169	193.25	242.14	954.52	-0.33618	258.34	0.10984	liquid
340.22	0.10000	6.4153	0.15588	-7.8240	-7.8084	-21.945	193.37	242.28	953.21	-0.33553	257.61	0.10975	liquid
340.53	0.10000	6.4125	0.15595	-7.7479	-7.7323	-21.722	193.49	242.41	951.90	-0.33489	256.88	0.10966	liquid
340.85	0.10000	6.4096	0.15601	-7.6717	-7.6561	-21.498	193.61	242.55	950.59	-0.33424	256.15	0.10957	liquid
341.16	0.10000	6.4068	0.15608	-7.5955	-7.5799	-21.275	193.74	242.68	949.28	-0.33360	255.43	0.10948	liquid
341.48	0.10000	6.4040	0.15615	-7.5193	-7.5037	-21.051	193.86	242.82	947.97	-0.33295	254.71	0.10939	liquid
341.79	0.10000	6.4011	0.15622	-7.4430	-7.4274	-20.828	193.98	242.96	946.66	-0.33230	253.99	0.10930	liquid
342.10	0.10000	6.3983	0.15629	-7.3667	-7.3511	-20.605	194.10	243.09	945.35	-0.33164	253.27	0.10921	liquid
342.42	0.10000	6.3954	0.15636	-7.2903	-7.2747	-20.382	194.22	243.23	944.04	-0.33099	252.56	0.10912	liquid
342.73	0.10000	6.3926	0.15643	-7.2139	-7.1983	-20.159	194.34	243.37	942.74	-0.33034	251.85	0.10903	liquid
343.05	0.10000	6.3897	0.15650	-7.1375	-7.1218	-19.936	194.46	243.50	941.43	-0.32968	251.14	0.10894	liquid
343.36	0.10000	6.3869	0.15657	-7.0610	-7.0453	-19.713	194.58	243.64	940.12	-0.32902	250.43	0.10885	liquid
343.67	0.10000	6.3840	0.15664	-6.9844	-6.9688	-19.490	194.70	243.78	938.82	-0.32836	249.73	0.10876	liquid
343.99	0.10000	6.3812	0.15671	-6.9079	-6.8922	-19.267	194.82	243.91	937.51	-0.32770	249.03	0.10867	liquid
344.30	0.10000	6.3783	0.15678	-6.8312	-6.8156	-19.044	194.95	244.05	936.20	-0.32704	248.34	0.10858	liquid
344.62	0.10000	6.3755	0.15685	-6.7546	-6.7389	-18.822	195.07	244.19	934.90	-0.32637	247.64	0.10849	liquid
344.93	0.10000	6.3726	0.15692	-6.6779	-6.6622	-18.599	195.19	244.33	933.59	-0.32571	246.95	0.10840	liquid
345.25	0.10000	6.3698	0.15699	-6.6011	-6.5854	-18.377	195.31	244.46	932.29	-0.32504	246.26	0.10831	liquid
345.56	0.10000	6.3669	0.15706	-6.5243	-6.5086	-18.155	195.43	244.60	930.98	-0.32437	245.57	0.10822	liquid
345.87	0.10000	6.3640	0.15713	-6.4475	-6.4318	-17.932	195.55	244.74	929.68	-0.32370	244.89	0.10813	liquid
346.19	0.10000	6.3612	0.15720	-6.3706	-6.3549	-17.710	195.67	244.88	928.37	-0.32303	244.21	0.10804	liquid
346.50	0.10000	6.3583	0.15728	-6.2937	-6.2779	-17.488	195.79	245.01	927.07	-0.32235	243.53	0.10795	liquid
346.82	0.10000	6.3554	0.15735	-6.2167	-6.2010	-17.266	195.92	245.15	925.77	-0.32168	242.85	0.10786	liquid
347.13	0.10000	6.3525	0.15742	-6.1397	-6.1239	-17.044	196.04	245.29	924.46	-0.32100	242.18	0.10778	liquid
347.44	0.10000	6.3497	0.15749	-6.0626	-6.0469	-16.822	196.16	245.43	923.16	-0.32032	241.51	0.10769	liquid
347.76	0.10000	6.3468	0.15756	-5.9855	-5.9698	-16.600	196.28	245.57	921.86	-0.31964	240.84	0.10760	liquid
348.07	0.10000	6.3439	0.15763	-5.9084	-5.8926	-16.378	196.40	245.70	920.56	-0.31896	240.17	0.10751	liquid
348.39	0.10000	6.3410	0.15770	-5.8312	-5.8154	-16.157	196.52	245.84	919.25	-0.31827	239.51	0.10742	liquid
348.70	0.10000	6.3382	0.15777	-5.7540	-5.7382	-15.935	196.64	245.98	917.95	-0.31759	238.85	0.10733	liquid
349.01	0.10000	6.3353	0.15785	-5.6767	-5.6609	-15.714	196.77	246.12	916.65	-0.31690	238.19	0.10724	liquid
349.33	0.10000	6.3324	0.15792	-5.5994	-5.5836	-15.492	196.89	246.26	915.35	-0.31621	237.53	0.10715	liquid
349.64	0.10000	6.3295	0.15799	-5.5220	-5.5062	-15.271	197.01	246.40	914.05	-0.31552	236.88	0.10706	liquid
349.96	0.10000	6.3266	0.15806	-5.4446	-5.4288	-15.049	197.13	246.54	912.75	-0.31483	236.23	0.10697	liquid
350.27	0.10000	6.3237	0.15813	-5.3672	-5.3513	-14.828	197.25	246.68	911.45	-0.31413	235.58	0.10688	liquid
350.58	0.10000	6.3208	0.15821	-5.2897	-5.2738	-14.607	197.37	246.82	910.15	-0.31344	234.93	0.10680	liquid
350.90	0.10000	6.3179	0.15828	-5.2121	-5.1963	-14.386	197.50	246.96	908.85	-0.31274	234.29	0.10671	liquid
351.21	0.10000	6.3150	0.15835	-5.1346	-5.1187	-14.165	197.62	247.09	907.55	-0.31204	233.65	0.10662	liquid
351.53	0.10000	6.3121	0.15842	-5.0569	-5.0411	-13.944	197.74	247.23	906.25	-0.31134	233.01	0.10653	liquid
351.84	0.10000	6.3092	0.15850	-4.9793	-4.9634	-13.723	197.86	247.37	904.95	-0.31063	232.37	0.10644	liquid
352.15	0.10000	6.3063	0.15857	-4.9016	-4.8857	-13.502	197.98	247.51	903.66	-0.30993	231.74	0.10635	liquid
352.47	0.10000	6.3034	0.15864	-4.8238	-4.8079	-13.282	198.11	247.65	902.36	-0.30922	231.10	0.10626	liquid
352.78	0.10000	6.3005	0.15872	-4.7460	-4.7301	-13.061	198.23	247.79	901.06	-0.30851	230.47	0.10618	liquid
353.10	0.10000	6.2976	0.15879	-4.6682	-4.6523	-12.840	198.35	247.93	899.76	-0.30780	229.85	0.10609	liquid
353.41	0.10000	6.2947	0.15886	-4.5903	-4.5744	-12.620	198.47	248.07	898.47	-0.30709	229.22	0.10600	liquid
353.73	0.10000	6.2918	0.15894	-4.5123	-4.4964	-12.400	198.59	248.21	897.17	-0.30638	228.60	0.10591	liquid
354.04	0.10000	6.2889	0.15901	-4.4344	-4.4185	-12.179	198.72	248.35	895.87	-0.30566	227.98	0.10582	liquid
354.35	0.10000	6.2860	0.15908	-4.3563	-4.3404	-11.959	198.84	248.49	894.58	-0.30494	227.36	0.10573	liquid
354.67	0.10000	6.2830	0.15916	-4.2783	-4.2624	-11.739	198.96	248.63	893.28	-0.30422	226.74	0.10565	liquid
354.98	0.10000	6.2801	0.15923	-4.2002	-4.1843	-11.519	199.08	248.78	891.99	-0.30350	226.12	0.10556	liquid
355.30	0.10000	6.2772	0.15931	-4.1220	-4.1061	-11.298	199.20	248.92	890.69	-0.30278	225.51	0.10547	liquid
355.61	0.10000	6.2743	0.15938	-4.0438	-4.0279	-11.078	199.33	249.06	889.40	-0.30205	224.90	0.10538	liquid
355.92	0.10000	6.2714	0.15946	-3.9656	-3.9496	-10.858	199.45	249.20	888.10	-0.30132	224.29	0.10529	liquid
356.24	0.10000	6.2684	0.15953	-3.8873	-3.8714	-10.639	199.57	249.34	886.81	-0.30059	223.69	0.10521	liquid
356.55	0.10000	6.2655	0.15960	-3.8090	-3.7930	-10.419	199.69	249.48	885.51	-0.29986	223.08	0.10512	liquid
356.87	0.10000	6.2626	0.15968	-3.7306	-3.7146	-10.199	199.82	249.62	884.22	-0.29913	222.48	0.10503	liquid
357.18	0.10000	6.2596	0.15975	-3.6522	-3.6362	-9.9794	199.94	249.76	882.92	-0.29839	221.88	0.10494	liquid
357.49	0.10000	6.2567	0.15983	-3.5737	-3.5577	-9.7598	200.06	249.90	881.63	-0.29765	221.29	0.10485	liquid
357.81	0.10000	6.2537	0.15990	-3.4952	-3.4792	-9.5403	200.18	250.05	880.34	-0.29691	220.69	0.10477	liquid
358.12	0.10000	6.2508	0.15998	-3.4167	-3.4007	-9.3209	200.30	250.19	879.04	-0.29617	220.10	0.10468	liquid
358.44	0.10000	6.2479	0.16005	-3.3381	-3.3221	-9.1015	200.43	250.33	877.75	-0.29543	219.51	0.10459	liquid
358.75	0.10000	6.2449	0.16013	-3.2594	-3.2434	-8.8822	200.55	250.47	876.46	-0.29468	218.92	0.10450	liquid
359.06	0.10000	6.2420	0.16021	-3.1808	-3.1647	-8.6629	200.67	250.61	875.17	-0.29394	218.33	0.10442	liquid
359.38	0.10000	6.2390	0.16028	-3.1020	-3.0860	-8.4437	200.79	250.76	873.88	-0.29319	217.75	0.10433	liquid
359.69	0.10000	6.2361	0.16036	-3.0233	-3.0072	-8.2246	200.92	250.90	872.58	-0.29243	217.16	0.10424	liquid
360.01	0.10000	6.2331	0.16043	-2.9444	-2.9284	-8.0056	201.04	251.04	871.29	-0.29168	216.58	0.10415	liquid
360.32	0.10000	6.2301	0.16051	-2.8656	-2.8495	-7.7866	201.16	251.18	870.00	-0.29092	216.00	0.10407	liquid
360.64	0.10000	6.2272	0.16059	-2.7867	-2.7706	-7.5677	201.28	251.33	868.71	-0.29017	215.43	0.10398	liquid
360.95	0.10000	6.2242	0.16066	-2.7077	-2.6917	-7.3488	201.41	251.47	867.42	-0.28941	214.85	0.10389	liquid
361.26	0.10000	6.2213	0.16074	-2.6287	-2.6126	-7.1300	201.53	251.61	866.13	-0.28864	214.28	0.10380	liquid
361.58	0.10000	6.2183	0.16082	-2.5497	-2.5336	-6.9113	201.65	251.75	864.84	-0.28788	213.71	0.10372	liquid
361.89	0.10000	6.2153	0.16089	-2.4706	-2.4545	-6.6927	201.77	251.90	863.55	-0.28711	213.14	0.10363	liquid
362.21	0.10000	6.2124	0.16097	-2.3915	-2.3754	-6.4741	201.90	252.04	862.26	-0.28634	212.57	0.10354	liquid
362.52	0.10000	6.2094	0.16105	-2.3123	-2.2962	-6.2555	202.02	252.18	860.97	-0.28557	212.01	0.10345	liquid
362.83	0.10000	6.2064	0.16112	-2.2331	-2.2170	-6.0371	202.14	252.33	859.68	-0.28480	211.44	0.10337	liquid
363.15	0.10000	6.2034	0.16120	-2.1538	-2.1377	-5.8187	202.27	252.47	858.39	-0.28402	210.88	0.10328	liquid
363.46	0.10000	6.2005	0.16128	-2.0745	-2.0584	-5.6004	202.39	252.61	857.10	-0.28324	210.32	0.10319	liquid
363.78	0.10000	6.1975	0.16136	-1.9951	-1.9790	-5.3821	202.51	252.76	855.81	-0.28246	209.77	0.10311	liquid
364.09	0.10000	6.1945	0.16143	-1.9157	-1.8996	-5.1639	202.63	252.90	854.53	-0.28168	209.21	0.10302	liquid
364.40	0.10000	6.1915	0.16151	-1.8363	-1.8201	-4.9458	202.76	253.04	853.24	-0.28089	208.66	0.10293	liquid
364.72	0.10000	6.1885	0.16159	-1.7568	-1.7406	-4.7277	202.88	253.19	851.95	-0.28011	208.11	0.10285	liquid
365.03	0.10000	6.1855	0.16167	-1.6773	-1.6611	-4.5097	203.00	253.33	850.66	-0.27932	207.56	0.10276	liquid
365.35	0.10000	6.1825	0.16175	-1.5977	-1.5815	-4.2918	203.12	253.48	849.37	-0.27853	207.01	0.10267	liquid
365.66	0.10000	6.1795	0.16182	-1.5180	-1.5019	-4.0739	203.25	253.62	848.09	-0.27773	206.46	0.10259	liquid
365.97	0.10000	6.1765	0.16190	-1.4384	-1.4222	-3.8561	203.37	253.76	846.80	-0.27693	205.92	0.10250	liquid
366.29	0.10000	6.1735	0.16198	-1.3587	-1.3425	-3.6383	203.49	253.91	845.51	-0.27614	205.38	0.10241	liquid
366.60	0.10000	6.1705	0.16206	-1.2789	-1.2627	-3.4206	203.62	254.05	844.23	-0.27533	204.84	0.10233	liquid
366.92	0.10000	6.1675	0.16214	-1.1991	-1.1829	-3.2030	203.74	254.20	842.94	-0.27453	204.30	0.10224	liquid
367.23	0.10000	6.1645	0.16222	-1.1192	-1.1030	-2.9854	203.86	254.34	841.65	-0.27372	203.76	0.10215	liquid
367.55	0.10000	6.1615	0.16230	-1.0393	-1.0231	-2.7679	203.98	254.49	840.37	-0.27292	203.22	0.10207	liquid
367.86	0.10000	6.1585	0.16238	-0.95938	-0.94315	-2.5505	204.11	254.63	839.08	-0.27210	202.69	0.10198	liquid
368.17	0.10000	6.1555	0.16246	-0.87939	-0.86315	-2.3331	204.23	254.78	837.80	-0.27129	202.16	0.10189	liquid
368.49	0.10000	6.1525	0.16254	-0.79936	-0.78310	-2.1158	204.35	254.92	836.51	-0.27047	201.63	0.10181	liquid
368.80	0.10000	6.1494	0.16262	-0.71927	-0.70301	-1.8986	204.48	255.07	835.23	-0.26966	201.10	0.10172	liquid
369.12	0.10000	6.1464	0.16270	-0.63915	-0.62288	-1.6814	204.60	255.21	833.94	-0.26883	200.57	0.10164	liquid
369.43	0.10000	6.1434	0.16278	-0.55897	-0.54270	-1.4642	204.72	255.36	832.66	-0.26801	200.05	0.10155	liquid
369.74	0.10000	6.1404	0.16286	-0.47875	-0.46247	-1.2471	204.85	255.51	831.37	-0.26718	199.53	0.10146	liquid
370.06	0.10000	6.1373	0.16294	-0.39849	-0.38220	-1.0301	204.97	255.65	830.09	-0.26635	199.00	0.10138	liquid
370.37	0.10000	6.1343	0.16302	-0.31818	-0.30188	-0.81319	205.09	255.80	828.80	-0.26552	198.48	0.10129	liquid
370.69	0.10000	6.1313	0.16310	-0.23782	-0.22151	-0.59629	205.21	255.94	827.52	-0.26469	197.97	0.10121	liquid
371.00	0.10000	6.1282	0.16318	-0.15742	-0.14110	-0.37946	205.34	256.09	826.24	-0.26385	197.45	0.10112	liquid
