Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
206.73	0.10000	7.5399	0.13263	-36.921	-36.908	-129.68	154.33	200.77	1550.0	-0.51013	1707.1	0.15012	liquid
207.05	0.10000	7.5373	0.13267	-36.858	-36.845	-129.37	154.36	200.80	1548.6	-0.50997	1693.0	0.15003	liquid
207.36	0.10000	7.5347	0.13272	-36.795	-36.782	-129.07	154.40	200.84	1547.1	-0.50981	1679.2	0.14993	liquid
207.68	0.10000	7.5321	0.13276	-36.732	-36.718	-128.76	154.44	200.87	1545.6	-0.50965	1665.5	0.14984	liquid
207.99	0.10000	7.5295	0.13281	-36.669	-36.655	-128.46	154.47	200.90	1544.1	-0.50948	1652.0	0.14975	liquid
208.30	0.10000	7.5269	0.13286	-36.606	-36.592	-128.16	154.51	200.94	1542.6	-0.50932	1638.7	0.14966	liquid
208.62	0.10000	7.5243	0.13290	-36.542	-36.529	-127.85	154.55	200.98	1541.1	-0.50915	1625.5	0.14956	liquid
208.93	0.10000	7.5217	0.13295	-36.479	-36.466	-127.55	154.59	201.01	1539.6	-0.50898	1612.5	0.14947	liquid
209.25	0.10000	7.5191	0.13299	-36.416	-36.403	-127.25	154.63	201.05	1538.1	-0.50882	1599.7	0.14938	liquid
209.56	0.10000	7.5165	0.13304	-36.353	-36.340	-126.95	154.67	201.09	1536.6	-0.50864	1587.1	0.14928	liquid
209.88	0.10000	7.5139	0.13309	-36.290	-36.277	-126.65	154.71	201.12	1535.1	-0.50847	1574.6	0.14919	liquid
210.19	0.10000	7.5113	0.13313	-36.227	-36.213	-126.35	154.75	201.16	1533.6	-0.50830	1562.3	0.14910	liquid
210.50	0.10000	7.5087	0.13318	-36.163	-36.150	-126.05	154.79	201.20	1532.1	-0.50812	1550.2	0.14901	liquid
210.82	0.10000	7.5061	0.13323	-36.100	-36.087	-125.75	154.83	201.24	1530.6	-0.50795	1538.2	0.14891	liquid
211.13	0.10000	7.5035	0.13327	-36.037	-36.024	-125.45	154.87	201.28	1529.1	-0.50777	1526.3	0.14882	liquid
211.45	0.10000	7.5009	0.13332	-35.974	-35.961	-125.15	154.91	201.32	1527.6	-0.50759	1514.6	0.14873	liquid
211.76	0.10000	7.4983	0.13336	-35.911	-35.897	-124.85	154.95	201.36	1526.2	-0.50741	1503.1	0.14863	liquid
212.07	0.10000	7.4957	0.13341	-35.847	-35.834	-124.55	154.99	201.40	1524.7	-0.50722	1491.7	0.14854	liquid
212.39	0.10000	7.4931	0.13346	-35.784	-35.771	-124.25	155.04	201.44	1523.2	-0.50704	1480.4	0.14845	liquid
212.70	0.10000	7.4905	0.13350	-35.721	-35.708	-123.95	155.08	201.48	1521.7	-0.50685	1469.3	0.14835	liquid
213.02	0.10000	7.4879	0.13355	-35.658	-35.644	-123.66	155.12	201.52	1520.2	-0.50666	1458.3	0.14826	liquid
213.33	0.10000	7.4853	0.13360	-35.594	-35.581	-123.36	155.17	201.56	1518.7	-0.50648	1447.4	0.14817	liquid
213.64	0.10000	7.4827	0.13364	-35.531	-35.518	-123.06	155.21	201.60	1517.2	-0.50628	1436.7	0.14807	liquid
213.96	0.10000	7.4801	0.13369	-35.468	-35.454	-122.77	155.26	201.65	1515.7	-0.50609	1426.1	0.14798	liquid
214.27	0.10000	7.4775	0.13374	-35.404	-35.391	-122.47	155.30	201.69	1514.2	-0.50590	1415.7	0.14789	liquid
214.59	0.10000	7.4749	0.13378	-35.341	-35.328	-122.18	155.35	201.74	1512.7	-0.50570	1405.3	0.14779	liquid
214.90	0.10000	7.4723	0.13383	-35.278	-35.264	-121.88	155.39	201.78	1511.3	-0.50551	1395.1	0.14770	liquid
215.21	0.10000	7.4697	0.13387	-35.214	-35.201	-121.59	155.44	201.82	1509.8	-0.50531	1385.0	0.14760	liquid
215.53	0.10000	7.4671	0.13392	-35.151	-35.137	-121.29	155.49	201.87	1508.3	-0.50511	1375.0	0.14751	liquid
215.84	0.10000	7.4645	0.13397	-35.087	-35.074	-121.00	155.53	201.91	1506.8	-0.50491	1365.2	0.14742	liquid
216.16	0.10000	7.4619	0.13401	-35.024	-35.011	-120.70	155.58	201.96	1505.3	-0.50471	1355.4	0.14732	liquid
216.47	0.10000	7.4593	0.13406	-34.961	-34.947	-120.41	155.63	202.01	1503.8	-0.50450	1345.8	0.14723	liquid
216.79	0.10000	7.4567	0.13411	-34.897	-34.884	-120.12	155.68	202.05	1502.3	-0.50430	1336.3	0.14713	liquid
217.10	0.10000	7.4541	0.13415	-34.834	-34.820	-119.83	155.73	202.10	1500.9	-0.50409	1326.9	0.14704	liquid
217.41	0.10000	7.4515	0.13420	-34.770	-34.757	-119.53	155.78	202.15	1499.4	-0.50388	1317.6	0.14695	liquid
217.73	0.10000	7.4489	0.13425	-34.707	-34.693	-119.24	155.83	202.20	1497.9	-0.50367	1308.4	0.14685	liquid
218.04	0.10000	7.4463	0.13429	-34.643	-34.630	-118.95	155.88	202.24	1496.4	-0.50346	1299.3	0.14676	liquid
218.36	0.10000	7.4437	0.13434	-34.580	-34.566	-118.66	155.93	202.29	1494.9	-0.50325	1290.3	0.14666	liquid
218.67	0.10000	7.4411	0.13439	-34.516	-34.503	-118.37	155.98	202.34	1493.4	-0.50304	1281.4	0.14657	liquid
218.98	0.10000	7.4385	0.13444	-34.453	-34.439	-118.08	156.03	202.39	1492.0	-0.50282	1272.7	0.14647	liquid
219.30	0.10000	7.4359	0.13448	-34.389	-34.376	-117.79	156.08	202.44	1490.5	-0.50260	1264.0	0.14638	liquid
219.61	0.10000	7.4334	0.13453	-34.325	-34.312	-117.50	156.13	202.49	1489.0	-0.50238	1255.4	0.14628	liquid
219.93	0.10000	7.4308	0.13458	-34.262	-34.248	-117.21	156.18	202.54	1487.5	-0.50216	1246.9	0.14619	liquid
220.24	0.10000	7.4282	0.13462	-34.198	-34.185	-116.92	156.23	202.60	1486.0	-0.50194	1238.5	0.14610	liquid
220.55	0.10000	7.4256	0.13467	-34.135	-34.121	-116.63	156.29	202.65	1484.5	-0.50172	1230.2	0.14600	liquid
220.87	0.10000	7.4230	0.13472	-34.071	-34.057	-116.34	156.34	202.70	1483.1	-0.50150	1222.0	0.14591	liquid
221.18	0.10000	7.4204	0.13476	-34.007	-33.994	-116.05	156.39	202.75	1481.6	-0.50127	1213.8	0.14581	liquid
221.50	0.10000	7.4178	0.13481	-33.944	-33.930	-115.77	156.45	202.80	1480.1	-0.50104	1205.8	0.14572	liquid
221.81	0.10000	7.4152	0.13486	-33.880	-33.866	-115.48	156.50	202.86	1478.6	-0.50082	1197.8	0.14562	liquid
222.12	0.10000	7.4126	0.13490	-33.816	-33.803	-115.19	156.56	202.91	1477.1	-0.50059	1190.0	0.14553	liquid
222.44	0.10000	7.4100	0.13495	-33.752	-33.739	-114.90	156.61	202.97	1475.7	-0.50036	1182.2	0.14543	liquid
222.75	0.10000	7.4074	0.13500	-33.689	-33.675	-114.62	156.67	203.02	1474.2	-0.50012	1174.5	0.14534	liquid
223.07	0.10000	7.4049	0.13505	-33.625	-33.611	-114.33	156.72	203.08	1472.7	-0.49989	1166.9	0.14524	liquid
223.38	0.10000	7.4023	0.13509	-33.561	-33.548	-114.05	156.78	203.13	1471.2	-0.49965	1159.3	0.14515	liquid
223.69	0.10000	7.3997	0.13514	-33.497	-33.484	-113.76	156.83	203.19	1469.7	-0.49942	1151.9	0.14505	liquid
224.01	0.10000	7.3971	0.13519	-33.433	-33.420	-113.48	156.89	203.24	1468.3	-0.49918	1144.5	0.14496	liquid
224.32	0.10000	7.3945	0.13524	-33.370	-33.356	-113.19	156.95	203.30	1466.8	-0.49894	1137.2	0.14486	liquid
224.64	0.10000	7.3919	0.13528	-33.306	-33.292	-112.91	157.01	203.36	1465.3	-0.49870	1129.9	0.14477	liquid
224.95	0.10000	7.3893	0.13533	-33.242	-33.228	-112.62	157.06	203.41	1463.8	-0.49846	1122.8	0.14467	liquid
225.27	0.10000	7.3867	0.13538	-33.178	-33.164	-112.34	157.12	203.47	1462.4	-0.49821	1115.7	0.14458	liquid
225.58	0.10000	7.3842	0.13543	-33.114	-33.101	-112.06	157.18	203.53	1460.9	-0.49797	1108.7	0.14448	liquid
225.89	0.10000	7.3816	0.13547	-33.050	-33.037	-111.77	157.24	203.59	1459.4	-0.49772	1101.8	0.14438	liquid
